"Ano Resultado";"0 - 10 dias";"11 - 20 dias";"21 - 30 dias";"> 30 dias";" Total"
"2018";"3324";"1171";"865";"1942";"7302"
"2019";"7654";"1743";"1410";"3416";"14223"
"2020";"6695";"1670";"948";"3095";"12408"
"2021";"8860";"3091";"1818";"2224";"15993"
"2022";"5352";"1323";"699";"4349";"11723"
"2023";"12717";"2711";"1504";"10371";"27303"
"2024";"12713";"5056";"2128";"2612";"22509"
"2025";"11936";"3520";"2049";"3089";"20594"
"Total";"69251";"20285";"11421";"31098";"132055"
